ingredient1,ingredient2,recipe_id,partition
beef,liver,000b0b5d50,train
vermicelli,couscous,000b6f9852,train
orange,peach,0013894a19,val
strawberry,orange,0013894a19,val
orange,strawberry,0013894a19,val
coconut_milk,water,00260d9898,train
lemon_rind,lemon,0032493a22,val
almond_extract,coconut,0032493a22,val
vanilla,almond_extract,0032493a22,val
oregano,dried_basil,0033e4f992,train
italian_seasoning,oregano,0033e4f992,train
chicken,water,0035aee34f,train
dark_brown_sugar,cooky,0035e6c38e,train
light_brown_sugar,dark_brown_sugar,0035e6c38e,train
vanilla_greek_yogurt,light_brown_sugar,0035e6c38e,train
sour_cream,vanilla_greek_yogurt,0035e6c38e,train
milk,sour_cream,0035e6c38e,train
dark_chocolate_chip,milk,0035e6c38e,train
sea_salt,semisweet_chocolate_chip,0035e6c38e,train
kosher_salt,sea_salt,0035e6c38e,train
parsley,fresh_basil_leaf,0039e97313,train
iced_tea,spiced_rum,003cc8f5b7,train
spiced_rum,white_rum,003cc8f5b7,train
white_rum,guava_juice,003cc8f5b7,train
maple_syrup,molasses,0044c5718b,train
ground_beef,turkey,004556fd6f,train
pumpkin,mashed_potato,00592a8a5f,train
mashed_potato,pumpkin,00592a8a5f,train
rice,pasta,00607df7a2,train
chicken,water,00607df7a2,train
water,canned_chicken_broth,00607df7a2,train
cracker,apple,006165fad5,train
chicken,white_meat_chicken,0061e607a3,train
pineapple,banana,006347e82c,train
banana,pineapple,006347e82c,train
olive_oil,butter,006378e3ec,train
salt,soy_sauce,00637db9b5,train
jalapeno,pepper,00653f51ae,val
ginger,cinnamon,00668d91b7,test
allspice,ginger,00668d91b7,test
white_pepper,allspice,00668d91b7,test
onion,water_chestnut,0066c83c9e,train
mayonnaise,onion,0066c83c9e,train
egg_yolk,egg,0066f44832,train
cooked_pasta,tomato_sauce,006afee953,train
meal,cooked_broccoli,006afee953,train
cooked_broccoli,vegetable,006afee953,train
bean_sprout,bamboo_shoot,00729dfd7b,train
celery,chinese_cabbage,00729dfd7b,train
cream,almond_milk,0075cbac51,train
almond_milk,cream,0075cbac51,train
water,flour,007e6b852c,val
pecan,walnut,008125ad92,train
dark_chocolate,milk_chocolate,0083dac4f3,train
strawberry,raspberry,0086b8024e,train
acorn,winter_squash_puree,00880a90c8,train
pumpkin,squash,00894f1a9b,val
sage,rosemary,00894f1a9b,val
parsley,fresh_cilantro,008dc9985f,val
chive,parsley,008dc9985f,val
curry,herb,009bb7994c,val
nutmeg,pepper,009bb7994c,val
salt,nutmeg,009bb7994c,val
curry,salt,009bb7994c,val
curry,chili_powder,009bb7994c,val
chicken,curry,009bb7994c,val
spice,bell_pepper,009de17b69,train
yellow_pepper,hot_pepper,009de17b69,train
olive_oil,vegetable_oil,00a0fb7d6d,train
vinaigrette,olive_oil,00a0fb7d6d,train
boursin_cheese,pepper,00a1a06041,train
blackberry,raspberry,00a21e20e6,test
strawberry,blackberry,00a21e20e6,test
pumpkin_puree,pumpkin_pie_spice,00a92bc13d,train
water,pumpkin_puree,00a92bc13d,train
nutmeg,cinnamon,00b139982f,val
whipping_cream,skim_milk,00b23e8631,train
semolina,wheat_flour,00bd6b3338,train
basil,mint_leaf,00c0c6058f,train
tea_bag,lemon_verbena,00c0c6058f,train
basil,tea_bag,00c0c6058f,train
spice,cream,00c0c6058f,train
basil,spice,00c0c6058f,train
cardamom_pod,basil,00c0c6058f,train
pie_crust,graham_cracker,00c75a2223,val
chicken_broth,water,00c92cb748,train
wine,chicken_broth,00c92cb748,train
dashi_stock,eggplant,00ca13c147,train
water,dashi_stock,00ca13c147,train
basil,seasoning,00cdc49956,train
garlic,basil,00cdc49956,train
graham_cracker_crust,pie_crust,00d74bb19f,train
turkey_breast,ham,00d9554614,train
cheese,butter,00dbc98ab9,train
onion,dried_onion,00dd7b36dc,train
carbonated_water,sugar,00df7ff210,train
rum,carbonated_water,00df7ff210,train
whole_clove,ground_clove,00e18fc3a3,train
noodle,spinach,00e9489a18,train
ground_ginger,ground_cinnamon,00ecf6e870,train
vanilla,plain_yogurt,00f9c253c0,train
banana,vanilla,00f9c253c0,train
sugar,cocoa,00fa8522b4,train
turkey,ham,00fad7470a,test
salami,turkey,00fad7470a,test
olive_oil,balsamic_vinegar,00fad7470a,test
olive_oil,butter,00ffbe5de2,train
cream,cream_of_celery_soup,010879ecb2,val
orange_marmalade,honey_mustard,01103b5d1b,val
apple_butter,orange_marmalade,01103b5d1b,val
cranberry,apple_butter,01103b5d1b,val
apricot_jam,glaze,01114cf5e6,train
sesame_seed,breadcrumb,0111ae3cdf,train
seasoning,sesame_seed,0111ae3cdf,train
spice,seasoning,0111ae3cdf,train
beef_broth,water,0113b8fedd,val
beer,beef_broth,0113b8fedd,val
cooked_wild_rice,wild_rice,01147f917f,train
jelly,grape,012d21909f,val
preserve,jelly,012d21909f,val
salsa,cheese,012d2b352e,train
chicken,salsa,012d2b352e,train
rice,chicken,012d2b352e,train
jar,rice,012d2b352e,train
barbecue_sauce,rice,012d2b352e,train
soup,barbecue_sauce,012d2b352e,train
cream_of_mushroom_soup,rice,012d2b352e,train
cream_of_chicken_soup,cream_of_mushroom_soup,012d2b352e,train
spaghetti_sauce,rice,012d2b352e,train
soup,spaghetti_sauce,012d2b352e,train
chicken,green_bean,012d2b352e,train
condensed_cream_of_mushroom_soup,rice,012d2b352e,train
chicken_soup,condensed_cream_of_mushroom_soup,012d2b352e,train
vanilla_extract,almond,01345e8d94,train
nutmeg,ginger,01369d346f,train
scallop,shrimp,013ca81144,val
lobster,scallop,013ca81144,val
oil,chicken_broth,013df964fa,train
toast,potato,01407c1ffd,train
biscuit,toast,01407c1ffd,train
water,apricot_nectar,0143112ec1,train
crab,clam,0149bca249,train
meat,crab,0149bca249,train
broth,chili_powder,014d31ad2a,train
almond,dried_cranberry,014f7eb1ca,train
chocolate_chip,almond,014f7eb1ca,train
gravy,parsley,015a296fbd,train
whole_wheat_flour,flour,015aba8f1e,train
sugar,dark_molasses,015aba8f1e,train
whipped_cream,powdered_sugar,01606e5849,train
crayfish,shrimp,0167f35052,train
vegetable,spinach,0168b409d1,test
butterscotch_chip,chip,016a098e6c,train
syrup,canned_peach,016aa36828,val
ham,salmon,0171e3b99b,test
salmon,shrimp,0171e3b99b,test
apple,banana,017ac4ad46,train
banana,berry,017ac4ad46,train
butter,margarine,01866158bc,train
broth,butter,01866158bc,train
carrot,frozen_vegetable,0189efa937,train
pea,carrot,0189efa937,train
nutella,strawberry_preserve,018d5ae438,train
strawberry_preserve,peach,018d5ae438,train
mushroom,frozen_mixed_vegetable,0191fec7d3,train
carrot,mushroom,0191fec7d3,train
green_capsicum,carrot,0191fec7d3,train
cocoa_powder,cinnamon,019b8d3033,train
dried_fruit,frozen_fruit,01a44dd13b,train
vanilla_bean,vodka,01a876370d,test
vodka,vanilla,01a876370d,test
marinade,water,01aa448da7,train
dijon_mustard,crabmeat,01b06ca471,train
dry_mustard,dijon_mustard,01b06ca471,train
garlic_powder,garlic,01b06ca471,train
potato,rutabaga,01bf8925c2,train
onion,garlic,01c25e4046,train
diced_tomato,rotel_tomato,01c27db717,train
pistachio,raspberry,01c577e420,train
raspberry,blueberry,01c577e420,train
almond_flour,arrowroot,01c59df67a,val
fat,duck,01c98a33b9,train
hazelnut,almond,01cd96423c,val
ketchup,tomato_paste,01d6a33aeb,train
cream_of_tartar,baking_soda,01d8e3b09e,val
milk,cream_of_tartar,01d8e3b09e,val
baking_powder,milk,01d8e3b09e,val
clove,garlic,01f02a8c55,val
vanilla,almond,01f11db595,test
pepper,parsley,01f7a97476,train
water,cold_water,01fb8eda52,test
cold_water,ice,01fb8eda52,test
rocket,roll,01fe43f992,train
cream,turkey_kielbasa,02046a92a9,test
celery,cream,02046a92a9,test
dried_mint,fresh_mint_leaf,0207022f58,train
water,warm_water,02264a7c94,test
cranberry,dried_fruit,022751992f,train
tomato,couscous,0228e747d1,train
lemon_juice,green,0235c9f25b,val
lime_juice,lemon_juice,0235c9f25b,val
jalapeno,lime_juice,0235c9f25b,val
granny_smith_apple,dried_cranberry,023db384d9,val
dried_cherry,granny_smith_apple,023db384d9,val
chive,scallion,0242efb872,val
fried_onion,chive,0242efb872,val
water,lamb,0248377141,test
lamb,fat,0248377141,test
tomato,lentil,024d82bd48,val
chicken_broth,celery_soup,02540d7215,train
dry_champagne,champagne,0255d50150,train
red_wine,dry_champagne,0255d50150,train
feta,goat_cheese,025ead3cb3,test
cheese,mozzarella_cheese,025f5f85d5,test
bread,tortilla,026cee47f7,val
sour_cream,bread,026cee47f7,val
sugar_cane,chicken,026ecf2f2b,val
wood_chip,sugar_cane,026ecf2f2b,val
cake,macaroon,026f30f6b6,train
whole_milk,crema,026f84f4c8,train
mashed_potato,whole_milk,026f84f4c8,train
ouzo,pernod,026fa2ffdf,val
anisette,ouzo,026fa2ffdf,val
biscotti,hazelnut,026fa2ffdf,val
hazelnut,biscotti,026fa2ffdf,val
almond,hazelnut,026fa2ffdf,val
liqueur,hazelnut,026fa2ffdf,val
brandy,liqueur,026fa2ffdf,val
brandy,biscotti,026fa2ffdf,val
almond,unsalted_pistachio_nut,026fa2ffdf,val
brandy,orange_flower_water,026fa2ffdf,val
almond,pine_nut,026fa2ffdf,val
apple,cherry,0272801127,train
orange,sugar,028439e20f,train
sugar,cinnamon_sugar,028439e20f,train
cake,fruit,0287358207,val
beef_stock,veal_stock,028affe845,train
asparagus,vegetable,0291197d2d,val
oil,black_pepper,02942ea150,train
black_pepper,wrap,02942ea150,train
ground_coriander,cumin,029d883fc4,val
yeast,dry_yeast,02a54a03d1,train
dry_yeast,liquid,02a54a03d1,train
pumpkin_pie,canned_pumpkin,02b2252a2f,train
white_chocolate_chip,milk_chocolate,02b4650857,test
rice_krispies,white_chocolate_chip,02b4650857,test
cereal,rice_krispies,02b4650857,test
oatmeal,cereal,02b4650857,test
feta,milk,02b896fa4c,test
bread,wrap,02be2699bf,train
heavy_cream,milk,02c3450f3d,train
water,heavy_cream,02c3450f3d,train
ice,water,02c6fbadf3,train
roll,tortilla,02cdc2cf5e,train
jar,chile,02d2f62de3,train
chile,jar,02d2f62de3,train
stock,water,02d3e77b11,train
broth,stock,02d3e77b11,train
macaroon,cocoa_powder,02dc74bf50,train
cocoa_powder,raspberry,02dc74bf50,train
coffee,orange_juice,02dc74bf50,train
icing,chocolate,02ed5e9168,val
strong_coffee,icing,02ed5e9168,val
milk,strong_coffee,02ed5e9168,val
chocolate,milk,02ed5e9168,val
lard,shortening,02f2c241a5,val
shortening,butter,02f2c241a5,val
fat,oil,02fb523098,val
rice,wild_rice,030099417a,train
stevia,sugar,030b6396fa,train
vinegar,water,031143d6c9,train
oatmeal_cooky,date,031255fbfe,train
oatmeal_cooky,chocolate_chip,031255fbfe,train
walnut,apple,03153d6522,train
banana,walnut,03153d6522,train
broth,mixed_vegetable,031b8929b0,test
salt,powdered_ginger,0329c2fc1e,train
clove,garlic_powder,0329c2fc1e,train
wheat_flour,rice_flour,032b6f2cb8,train
crema,milk,032b6f2cb8,train
smoked_paprika,garlic,032c9ad313,val
garlic,puree,032c9ad313,val
water,chicken_broth,032d977d2e,train
milk,coffee_creamer,03385aa1a3,test
sorghum_molasses,honey,033a260cf0,test
water,chicken_stock,03486051ac,train
port_wine,apple_juice,03510be829,train
greek_yogurt,fromage_blanc,03596c13f3,train
white_onion,corn,036ca6acff,train
green,white_onion,036ca6acff,train
lemon,green,036ca6acff,train
lime,lemon,036ca6acff,train
bell_pepper,lime,036ca6acff,train
roll,brownie,03745586bb,val
beef_stock,beef,037dce597c,val
chicken_stock,beef_stock,037dce597c,val
wheat,flour,038d95c8e2,train
berry,scone,039695d294,train
raspberry,berry,039695d294,train
blueberry,raspberry,039695d294,train
milk,candy_cane,0396ff8b50,train
water,white_vinegar,039ce6fe5e,train
spice,fresh_herb,03a48c318c,train
garlic,garlic_salt,03a559178a,train
cilantro,parsley,03a6062cc9,val
mint,cilantro,03a6062cc9,val
garlic_clove,scallion,03a86aba40,train
savory,fresh_herb,03ac35596f,train
thyme,savory,03ac35596f,train
rosemary_oil,olive_oil,03ac35596f,train
zucchini,butternut_squash,03af803b01,train
mushroom_cap,spinach,03b08c9f4b,train
spinach,muffin,03b08c9f4b,train
water,apple_cider,03b674d8d3,train
lamb,beef,03b67cdde7,train
shrimp,lamb,03b67cdde7,train
pork,shrimp,03b67cdde7,train
almond_extract,vanilla_extract,03b6d44375,train
candy_bar,cookie,03b6d44375,train
wrap,aluminum_foil,03bb905dc9,train
cocoa_powder,cooky,03c0b2c988,val
powdered_sugar,cocoa_powder,03c0b2c988,val
apple,peach,03ca4002f3,val
peach,apple,03ca4002f3,val
lemon,garlic,03caa936c6,test
garlic,thyme,03caa936c6,test
water,ice,03e22c2741,train
ice,cold_water,03e22c2741,train
chicken,broiler,03ebecd5f3,val
broiler,chicken,03ebecd5f3,val
milk,baking_soda,03f051b9ec,test
biscuit,potato,03f2843c84,train
shrimp,chicken,03fadf5498,train
basil,lemon_juice,04031f1535,train
tomato,basil,04031f1535,train
garlic,tomato,04031f1535,train
fried_rice,garlic,04031f1535,train
chicken_breast,grain,04071d25b2,test
pasta,rice_noodle,04071d25b2,test
nectarine,peach,0408d86081,train
water,mushroom_broth,040dda1eaa,train
chicken_broth,water,040dda1eaa,train
herb,scallop,0414ac2749,val
basil,herb,0414ac2749,val
cilantro,fresh_parsley,0414ac2749,val
dill,cilantro,0414ac2749,val
cookie_cutter,shortbread,04165d5897,test
peach_slice,stick,0421ee6acc,train
stick,cake,0421ee6acc,train
cake_mix,oat,04236de337,test
apricot,cake_mix,04236de337,test
juice,apricot,04236de337,test
water,juice,04236de337,test
ground_cinnamon,cinnamon_stick,0445e0b2b8,train
garbanzo_flour,wheat,04477d0385,train
wheat,garbanzo_flour,04477d0385,train
dill,onion_powder,044b7bf5ee,test
garlic,dill,044b7bf5ee,test
lemon_pepper,garlic,044b7bf5ee,test
water,stock,044dc732ea,test
stock,water,044dc732ea,test
sugar,agave_syrup,044e851ce6,test
chive,balsamic_vinegar,0455238307,val
roll,gravy,04589f3987,train
gravy,meat,04589f3987,train
